Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
open_door2_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή η 2η πόρτα της τάξης;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτή η 2η πόρτα της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_doors_v2]=2,y,LV,,,,
kids_num_v2,form_2_copy,,text,Πόσα παιδιά βρίσκονται στη συγκεκριμένη τάξη σήμερα;,,,integer,0,25,,,y,LV,,,,
air_condition_on_2_v2,form_2_copy,,radio,Έχει λειτουργήσει το κλιματιστικό κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[air_condition]=2 or [air_condition]=4,y,LV,,,,
anemistiras_on_2_v2,form_2_copy,,radio,Έχει λειτουργήσει ο ανεμιστήρας κατά τη διάρκεια της σημερινής ημέρας;,"1, Ναι | 2, Όχι",,,,,,[air_condition]=1 or [air_condition]=4,y,LV,,,,
time_ac_on_2_v2,form_2_copy,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία το κλιματιστικό</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[air_condition_on]=1,y,LV,,,,
time_anemistiras_on_2_v2,form_2_copy,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας</u>, κατά τη διάρκεια της σημερινής ημέρας;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on]=1,y,LV,,,,
open_wind_2_v2,form_2_copy,<center>Φυσικός αερισμός τάξης,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=1,y,LV,,,,
open_wind1_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 1ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 1ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=2 or [num_wind]=3 or [num_wind]=4 or [num_wind]=5 or [num_wind]=6 or [num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind2_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 2ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 2ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=2 or [num_wind]=3 or [num_wind]=4 or [num_wind]=5 or [num_wind]=6 or [num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind3_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 3ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 3ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=3 or [num_wind]=4 or [num_wind]=5 or [num_wind]=6 or [num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind4_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 4ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=4 or [num_wind]=5 or [num_wind]=6 or [num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind5_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 5ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=5 or [num_wind]=6 or [num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind6_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 6ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=6 or [num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind7_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 7ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=7 or [num_wind]=8,y,LV,,,,
open_wind8_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 8ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind]=8,y,LV,,,,
open_door_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή η πόρτα της τάξης;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτή η πόρτα της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_doors]=1,y,LV,,,,
open_door1_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή η 1η πόρτα της τάξης;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτή η 1η πόρτα της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_doors]=2,y,LV,,,,
open_door2_2_v2,form_2_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή η 2η πόρτα της τάξης;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτή η 2η πόρτα της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_doors]=2,y,LV,,,,
city_t_v2_e64d72,form_1_copy_2,,radio,Σε ποια πόλη βρίσκεται το σχολείο στο οποίο διδάσκετε:,"1, Λεμεσός | 2, Λευκωσία | 3, Λάρνακα | 4, Πάφος | 5, Αμμόχωστος",,,,,,,y,LV,,,,
school_lim_v2_2e80fb,form_1_copy_2,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2_e64d72]=1,y,LV,,,,
school_nic_v2_c3a1a5,form_1_copy_2,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2_e64d72]=2,y,LV,,,,
school_lar_v2_a535eb,form_1_copy_2,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2_e64d72]=3,y,LV,,,,
school_paf_v2_563765,form_1_copy_2,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2_e64d72]=4,y,LV,,,,
school_fam_v2,form_1_copy_2,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2_e64d72]=5,y,LV,,,,
class_id_v2_7d653a,form_1_copy_2,,text,Τάξη-Τμήμα (π.χ. Γ2):,,,,,,,,,LV,,,,
surface_v2_aa6f54,form_1_copy_2,<center>Xαρακτηριστικά της τάξης,text,Ποια είναι η επιφάνεια της συγκεκριμένης αίθουσας σε τετραγωνικά μέτρα (m²);,,,number,10,40,,,y,LV,,,,
num_child_v2_995747,form_1_copy_2,,text,Πόσα παιδιά βρίσκονται στην αίθουσα σήμερα; ,,,integer,0,30,,,y,LV,,,,
vent_v2_fb81cb,form_1_copy_2,,radio,"Με ποιο τρόπο εξαερίζεται η αίθουσα;
","1, Με φυσικό εξαερισμό (π.χ. ανοίγοντας πόρτες και παράθυρα) | 2, Με μηχανικό εξαερισμό (π.χ. αυτόματο σύστημα εξαερισμού) | 3, Και με τους 2 τρόπους",,,,,,,y,LV,,,,
air_condition_v2_5fe4ba,form_1_copy_2,,radio,Ποιο/α από τα πιο κάτω διαθέτει η αίθουσα;,"1, Ανεμιστήρα | 2, Κλιματιστικό | 3, Κανένα από τα πιο πάνω | 4, Και τα δύο",,,,,,,y,LV,,,,
air_condition_on_v2_53d723,form_1_copy_2,,radio,Έχει λειτουργήσει το κλιματιστικό σήμερα;,"1, Ναι | 2, Όχι",,,,,,[air_condition_v2_5fe4ba]=2 or [air_condition_v2_5fe4ba]=4,y,LV,,,,
time_ac_on_v2_78b5a9,form_1_copy_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία το κλιματιστικό</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[air_condition_on_v2_53d723]=1,y,LV,,,,
anemistiras_on_v2_325522,form_1_copy_2,,radio,Έχει λειτουργήσει ο ανεμιστήρας σήμερα;,"1, Ναι | 2, Όχι",,,,,,[air_condition_v2_5fe4ba]=1 or [air_condition_v2_5fe4ba]=4,y,LV,,,,
time_anemistiras_on_v2_155bad,form_1_copy_2,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[anemistiras_on_v2_325522]=1,y,LV,,,,
num_wind_v2_396f58,form_1_copy_2,<center>Φυσικός αερισμός τάξης,dropdown,Πόσα παράθυρα διαθέτει η αίθουσα;,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,LV,,,,
w1_v2,form_1_copy_2,,radio,Παράθυρο 1,"1, 07:45-08:25 | 2, 08:25-09:05 | 3, 09:05-09:25 (Διάλ. 20') | 4, 09:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Διάλ. 10') | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Διάλ. 10') | 10, 12:25-13:05",,,,,,,,,,windows_time_v2,,
w2_v2,form_1_copy_2,,radio,Παράθυρο 2,"1, 07:45-08:25 | 2, 08:25-09:05 | 3, 09:05-09:25 (Διάλ. 20') | 4, 09:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Διάλ. 10') | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Διάλ. 10') | 10, 12:25-13:05",,,,,,,,,,windows_time_v2,,
w3_v2,form_1_copy_2,,radio,Παράθυρο 3,"1, 07:45-08:25 | 2, 08:25-09:05 | 3, 09:05-09:25 (Διάλ. 20') | 4, 09:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Διάλ. 10') | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Διάλ. 10') | 10, 12:25-13:05",,,,,,,,,,windows_time_v2,,
time_18_window_d8_v2,form_1_copy_2,Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτά τα παράθυρα της αίθουσας σήμερα;,checkbox,Δεν ήταν ανοιχτό καθόλου σήμερα,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,[num_wind_v2_396f58]=8,,,,windows_open_time_v2,,
time_1_window_d8_v2,form_1_copy_2,,checkbox,7:45 - 8:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_2_window_d8_v2,form_1_copy_2,,checkbox,8:06 - 8:25,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_3_window_d8_v2,form_1_copy_2,,checkbox,8:26 - 8:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_4_window_d8_v2,form_1_copy_2,,checkbox,8:46 - 9:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_5_window_d8_v2,form_1_copy_2,,checkbox,9:06 - 9:25 (1o Διάλειμμα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_6_window_d8_v2,form_1_copy_2,,checkbox,9:26 - 9:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_7_window_d8_v2,form_1_copy_2,,checkbox,9:46 - 10:05,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_8_window_d8_v2,form_1_copy_2,,checkbox,10:06 - 10:25,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_9_window_d8_v2,form_1_copy_2,,checkbox,10:26 - 10:45,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_10_window_d8_v2,form_1_copy_2,,checkbox,10:46 - 10:55 (2ο Διάλειμμα),"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_11_window_d8_v2,form_1_copy_2,,checkbox,10:56 - 11:15,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_12_window_d8_v2,form_1_copy_2,,checkbox,11:16 - 11:35,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
time_13_window_d8_v2,form_1_copy_2,,checkbox,11:36 - 11:55,"1, Παράθυρο 1 | 2, Παράθυρο 2 | 3, Παράθυρο 3 | 4, Παράθυρο 4 | 5, Παράθυρο 5 | 6, Παράθυρο 6 | 7, Παράθυρο 7 | 8, Παράθυρο 8",,,,,,,,,,windows_open_time_v2,,
